4;operative;31;belt cycle stream day plastic fighter suit round fall pupil;lightgrey blue lightgrey red red red lightgrey black blue lightgrey;red;night;1;day;
4;operative;32;bottle microscope train note teacher draft hole tooth pilot pyramid genius fire soul yard switch film cliff ivory wind bug light board seal contract;blue lightgrey blue blue lightgrey red red lightgrey blue lightgrey red blue blue lightgrey red red red red red blue lightgrey black lightgrey blue;red;coast;3;ivory wind cliff;
4;operative;33;well train kid band thief temple casino mass ball tie water nail rabbit alien lace flute whip forest calf;red lightgrey lightgrey blue lightgrey lightgrey red red lightgrey blue red blue black red lightgrey lightgrey red blue blue;red;drink;2;water well;
4;operative;34;marble contract piano wall cook capital hotel water compound teacher post america point parachute calf bell time square;blue lightgrey blue lightgrey red black lightgrey red lightgrey blue blue red blue lightgrey blue blue lightgrey red;blue;cow;2;calf bell;
4;operative;35;fall spell film india pound flute web horn kid field;lightgrey blue lightgrey red blue lightgrey blue black red lightgrey;red;spider;1;web;
4;spymaster;36;new ruler mass hole moscow china plate shot oil wave mine model net marble;red black lightgrey lightgrey lightgrey lightgrey blue blue lightgrey red blue red red blue;red;;;;
4;spymaster;37;spot march sub air bridge thumb shadow face ghost plot table belt pyramid;lightgrey blue red lightgrey red red lightgrey blue lightgrey blue blue lightgrey black;blue;;;;
4;spymaster;38;drill bug chip key kid sock figure cook seal track piano america mexico bow alien;lightgrey lightgrey lightgrey red lightgrey blue blue red blue blue red lightgrey lightgrey black red;red;;;;
4;spymaster;39;america card hand duck school ambulance mass piano sink chair press pistol pyramid luck poison key link buck mammoth soul stadium shoe copper;red blue black red blue lightgrey red red red blue red red lightgrey blue lightgrey lightgrey lightgrey blue lightgrey blue blue blue lightgrey;blue;;;;
4;spymaster;40;fish vet dragon cover kid maple moon brush post;black lightgrey lightgrey red lightgrey red lightgrey blue blue;blue;;;;
